,text,emotion,polarity.POS,polarity.NEG,polarity.POS.NEG,polarity.BEST_FIT
30,"me at pm i really need an early night me at am ffs why haven t i gone to sleep yet me at am urgh why do i do this to myself",unknown,9.47547004,8.782322859,1.078925267,neutral
31,i wanna sleep at night with this comfort,joy,8.782322859,0.445453222,19.71547723,positive
32,so does sleep,unknown,1.031277741,0.445453222,2.315120175,positive
33,go to sleep you make the internet slow,unknown,1.031277741,8.782322859,0.117426535,negative
34,i feel like i should be jdjghfjfjsfgfjf ing too but need sleep,joy,9.47547004,8.782322859,1.078925267,neutral
35,time for sleep,unknown,1.031277741,0.445453222,2.315120175,positive
36,please sleep and dream of eating cake that is not from anime and about having a positive relationship with y,joy,24.97756028,0.445453222,56.07224067,positive
37,"hours in the studio tracks ft no sleep  hours until hours drops  ï¸è ï¸è",unknown,1.031277741,0.445453222,2.315120175,positive
38,still nothing i m going to sleep now i m confident i ll wake up k richer,unknown,9.47547004,0.445453222,21.27152655,positive
39,the most important things you can do to get better sleep,sadness,17.22651516,9.47547004,1.818011675,neutral
40,mm i might allow you to sleep in from time to time but i remember your beauty to be irresitable,unknown,25.67070746,0.445453222,57.62828998,positive
41,doing some research on whether hours sleep daily is enough the general consensus is no but it s all i have time,unknown,9.47547004,0.445453222,21.27152655,positive
42,i m not gonna let y all sleep on janelle monae wake tf up sweeties,unknown,1.031277741,0.445453222,2.315120175,positive
43,why is snoring a thing i just want to sleep,unknown,17.91966234,0.445453222,40.22793292,positive
44,"morning what morning i am just going to sleep have a good day",joy,17.22651516,0.445453222,38.67188361,positive
45,i can t sleep,unknown,1.031277741,0.445453222,2.315120175,positive
46,no this revelation has hurled me into new depths of despair this is a disaster try to rekindle,sadness,8.782322859,26.8423565,0.327181515,negative
47,reeeeeeally should sleep soon but i like to prank my morning self by staying up as late as possible,joy,9.47547004,0.445453222,21.27152655,positive
48,can t sleep won t sleep need to sleep,unknown,1.031277741,8.782322859,0.117426535,negative
49,you know you ve bypassed when fried chicken and sleep is preferable to staying out later than pm and engaging new people,unknown,26.36385464,0.445453222,59.18433929,positive
50,wow sorry my grammar is a mess i m so sleep deprived,sadness,9.47547004,27.53550368,0.344118276,negative
51,don t let khabib sleep he ll get that when they fight,sadness,1.031277741,17.81233968,0.057896815,negative
52,pain in syndrome is primarily numbness that is so intense that it wakes one from sleep,unknown,1.031277741,17.81233968,0.057896815,negative
53,zhshsjdjdjff it s midnight probably not gonna sleep much xx,unknown,1.031277741,0.445453222,2.315120175,positive
54,"i can t sleep so a thread of kindle deals  welcome to lagos by chibundu onuzo",unknown,9.47547004,0.445453222,21.27152655,positive
55,trying to sleep grrr to much horribleness in this world peace love and laughter should be more in this world xxx,joy,25.67070746,17.81233968,1.441175495,neutral
56,she s annoying me i don t know what she wants i feel like a bad mother and i know you have,anger,17.91966234,18.50548686,0.968343199,negative
57,i need a nocturnal friend who s always up at this time i can never sleep anymore ffffsssss,joy,8.782322859,8.782322859,1,neutral
58,oh oops she blushes shaking her head i suppose i m tired i should get to sleep,disgust,1.031277741,26.8423565,0.038419792,negative
59,this show was iconic and i just can t wait for tomorrow i love every single one of you thank you for having share,joy,26.36385464,8.782322859,3.001922733,positive
60,goodnights sweet dreams sleep well joe xxx,unknown,24.2844131,0.445453222,54.51619135,positive
61,sleep walking america into a hitler world,unknown,9.47547004,0.445453222,21.27152655,positive
62,me and a good sleep schedule,joy,8.782322859,0.445453222,19.71547723,positive
63,got hours of sleep and i actually feel so alive âœ¨âœ¨âœ¨âœ¨âœ¨,unknown,1.031277741,0.445453222,2.315120175,positive
64,time to sleep night,unknown,1.031277741,0.445453222,2.315120175,positive
65,why you np sleep,unknown,1.031277741,0.445453222,2.315120175,positive
66,on the way home listening to the incredible means i m going to have a hard time getting t,unknown,9.47547004,17.81233968,0.531961001,negative
67,good to hear of the loyalty and dedication of caolan lucy and george to work for free with tommy robinson while th,joy,33.42175257,0.445453222,75.02864704,positive
68,"live well love loads sleep well dream much wake up turn dreams to reality wiv those u luv",joy,40.47965051,0.445453222,90.87295478,positive
69,i might have to sleep all day tomorrow and pull an all nighter so i actually am awake,unknown,9.47547004,0.445453222,21.27152655,positive
70,those of you watching yesterday s interaction with one particular antivaxer will be unsurprised to hear that she has y,unknown,9.47547004,0.445453222,21.27152655,positive
71,i ve got a shockingly fucked sleep pattern and even then not getting the work i want done i fucking hate uni,anger,25.67070746,18.50548686,1.387194385,neutral
72,okay i ll do the rest tomorrow i m going to sleep,unknown,8.782322859,0.445453222,19.71547723,positive
73,awww you should get some sleep then in my arms if you want to,sadness,9.47547004,9.47547004,1,neutral
74,the only way i can sleep,unknown,1.031277741,9.47547004,0.108836579,negative
75,all girls do is eat sleep and move mad,anger,1.031277741,9.47547004,0.108836579,negative
76,watch timberwolves play or go to sleep hard choice,unknown,1.031277741,17.81233968,0.057896815,negative
77,keep it up and sleep well i d be lost without you x,unknown,8.782322859,8.782322859,1,neutral
78,every night i go to sleep thinking of different ways to get my bread up,sadness,1.031277741,9.47547004,0.108836579,negative
79,feel for you since being back home from bedford i haven t been able to sleep in ma own bed,anger,24.97756028,0.445453222,56.07224067,positive
80,i ve had a long but productive day i can sleep well today lol,unknown,16.53336798,9.47547004,1.744859929,neutral
81,hi wife it s am i should sleep also my cats are cute and i am amazing at drawing you re so talented wth ily d,surprise,26.36385464,0.445453222,59.18433929,positive
82,we are so hypnotized by doing so many things that we keep working late at night and we sleep de,unknown,1.031277741,0.445453222,2.315120175,positive
83,feeling kinda tired might go sleep before am tonight how exciting,disgust,17.91966234,9.47547004,1.891163421,neutral
84,dont be upset we all gp through hard times in our life it just matters how we deal with it try your best,unknown,25.67070746,25.45606213,1.008431992,neutral
85,isra and mi raj in wakefulness or sleep,unknown,1.031277741,0.445453222,2.315120175,positive
86,always a pleasure to see you debbie big thank you for all the donations and the offer of breakfast items at our sleep ou,unknown,17.91966234,0.445453222,40.22793292,positive
87,i can t sleep bc mins ago i thought what if i finally meet a man that i both fancy and like at the same time an,joy,17.91966234,0.445453222,40.22793292,positive
88,they re digging up the street outside our house because there s a gas leak amp i m certain the house is going to,unknown,1.031277741,26.14920931,0.0394382,negative
89,i thought getting up and walking around would help me get to sleep but instead i m now wide awake this was a mistake,sadness,16.53336798,18.50548686,0.893430587,negative
90,so i guess the sleep thing isn t happening tonight,unknown,1.031277741,0.445453222,2.315120175,positive
91,nora i will kill your in your sleep,unknown,9.47547004,8.782322859,1.078925267,neutral
92,old school epsom salts are the spa worthy way to banish your insomnia,unknown,9.47547004,18.50548686,0.512035707,negative
93,i cannot sleep fml,unknown,1.031277741,0.445453222,2.315120175,positive
94,don t sleep on this please sign,joy,9.47547004,0.445453222,21.27152655,positive
95,when you ve played with your toys so much you just have to sleep,unknown,9.47547004,0.445453222,21.27152655,positive
96,don t sleep on the queen she coming,unknown,1.031277741,0.445453222,2.315120175,positive
97,in so much pain might need to go hospital but gonna try and sleep and see if that helps first,unknown,9.47547004,26.14920931,0.362361627,negative
98,how to understand your baby s sleeping pattern,unknown,9.47547004,0.445453222,21.27152655,positive
99,deffo best thing is to sleep on it and come back to it tomorrow,unknown,17.22651516,0.445453222,38.67188361,positive
100,i really can t go to sleep without reading a book lmao,unknown,1.031277741,0.445453222,2.315120175,positive
101,"how much sleep are you getting know the facts about good sleep hygiene download our free",joy,24.97756028,0.445453222,56.07224067,positive
102,tristan thompson better sleep with one eye open tonight a kind note from every girl in the universe,joy,34.11489975,0.445453222,76.58469635,positive
103,it s midnight and i just left uni about mins ago ahh on my travels home only to sleep for four hours and make my,unknown,9.47547004,9.47547004,1,neutral
104,the drilling session to tweet doesn t end with i ll be tweeting in my sleep at this rate,unknown,1.031277741,0.445453222,2.315120175,positive
105,please please please let me sleep i promise to be good i ll even be nice,joy,41.86594487,0.445453222,93.98505341,positive
106,tips to improving your sleep,unknown,8.782322859,0.445453222,19.71547723,positive
107,casually watching arrow before sleep and my old friend pops up,joy,8.782322859,0.445453222,19.71547723,positive
108,thanks all for an interesting first day i still have some threads to ponder as promised on being an irish immigra,unknown,9.47547004,0.445453222,21.27152655,positive
109,after months of building following amp just sleep away from r st bme childrens amp young peoples mental healt,unknown,9.47547004,0.445453222,21.27152655,positive
110,after months of building following amp just sleep away from r st bme childrens amp young peoples me,unknown,9.47547004,0.445453222,21.27152655,positive
111,change in attitude to recognising the importance of sleep rest fatigue for staff over last few years is brilliant,unknown,17.22651516,17.81233968,0.96711131,negative
112,that nap brought me back sleep is very special,unknown,16.53336798,0.445453222,37.11583429,positive
113,and still is too many sleep on him,unknown,1.031277741,0.445453222,2.315120175,positive
114,when you re tired but can t sleep,disgust,1.031277741,9.47547004,0.108836579,negative
115,i honestly just want my bed like i am ready for sleep,anger,42.55909205,0.445453222,95.54110273,positive
116,go to sleep youre gonna die,unknown,1.031277741,0.445453222,2.315120175,positive
117,my body and hours sleep,unknown,1.031277741,0.445453222,2.315120175,positive
118,sebastian settled down a bit and watched the movie intently as he drank his tea the movie wasn t t,unknown,1.031277741,0.445453222,2.315120175,positive
119,srsly tho why am i tired all day then can t sleep when i get into bed can u not,anger,1.031277741,18.50548686,0.055728215,negative
120,thankyou all for joining me tonight for some fabulous poses performed time for some sleep namaste https,unknown,9.47547004,0.445453222,21.27152655,positive
121,i am going to sleep now and when i say sleep i really mean try to sleep and avoid thinking about those scary ass mo,fear,1.031277741,35.17922613,0.029314964,negative
122,so i m going to have to basically not sleep then for the next few days which is fab,unknown,1.031277741,0.445453222,2.315120175,positive
123,sleep well,unknown,8.782322859,0.445453222,19.71547723,positive
124,current ambition hours sleep,unknown,1.031277741,0.445453222,2.315120175,positive
125,sleeping has become very restless the last months or so i have to massage my jaw before i go to bed and sleep in,anger,1.031277741,17.81233968,0.057896815,negative
126,i shall pick this up tomorrow after sleep,joy,1.031277741,17.81233968,0.057896815,negative
127,bed amp sleep ï¸è,anger,1.031277741,0.445453222,2.315120175,positive
128,social life booming and deadlines looming means no sleep for me,unknown,8.782322859,0.445453222,19.71547723,positive
129,yes sebastian was definitely the type to make sure that james got enough sleep so it was pointles,unknown,25.67070746,0.445453222,57.62828998,positive
130,"revisiting this haunting poetry studio recording from one of the eight resident artists  pray",unknown,1.031277741,9.47547004,0.108836579,negative
131,feeling too rough to sleep so not even gonna try instead i am staying up watching the assassination of gianni versace,unknown,8.782322859,17.1191925,0.513010346,negative
132,lemme sleep,unknown,1.031277741,0.445453222,2.315120175,positive
133,i am at the point in my life where i can t read certain academic papers before bed because they make me really mad and i get,anger,1.031277741,18.50548686,0.055728215,negative
134,we re celebrating with this week with you re safe with me find comfort in s song like te,joy,24.97756028,0.445453222,56.07224067,positive
135,airbus just answered every parent s prayers with what it s unveiled for long haul flights,unknown,9.47547004,9.47547004,1,neutral
136,"finding it hard to feel finding it hard to stay on track my train of thoughts is escaping and i can bearly keep up",unknown,1.031277741,8.782322859,0.117426535,negative
137,i seem to be mentally planning a resignation email rather than going to sleep,unknown,1.031277741,8.782322859,0.117426535,negative
138,when can t sleep,unknown,1.031277741,0.445453222,2.315120175,positive
139,i am so tired gonna sleep like a baby right up until our upstairs neighbours start chiselling walls and drillin,disgust,17.22651516,9.47547004,1.818011675,neutral
140,i won t sleep at all,unknown,1.031277741,0.445453222,2.315120175,positive
141,how do people sleep with socks on,unknown,1.031277741,0.445453222,2.315120175,positive
142,i should probably get some sleep but moar flags to capture,joy,1.031277741,9.47547004,0.108836579,negative
143,uhm how am i supposed to sleep,unknown,1.031277741,8.782322859,0.117426535,negative
144,lol go to sleep,unknown,1.031277741,0.445453222,2.315120175,positive
145,sleep well everyone,unknown,8.782322859,0.445453222,19.71547723,positive
146,heckin jumperoo experience watching tonight thanks amp i ll never sleep again,unknown,8.782322859,0.445453222,19.71547723,positive
147,thanks that seems to have been it we must have accidentally turned on the sleep mode cycle at some,unknown,1.031277741,0.445453222,2.315120175,positive
148,crying myself sleep night,unknown,1.031277741,0.445453222,2.315120175,positive
149,you can sleep with anybody these days looks are just a bonus as what i get told,sadness,17.22651516,9.47547004,1.818011675,neutral
150,but also can t wait to just go home and sleep however long i want and relax on the sofa with my fam without that guilt of not doing uni work,sadness,34.11489975,18.50548686,1.843501877,neutral
151,"see you tomorrow with more exclusive pictures courtesy of sleep tight",unknown,25.67070746,0.445453222,57.62828998,positive
152,go sleep man,unknown,1.031277741,0.445453222,2.315120175,positive
153,why sleeping in a dark room is better for your mental health,sadness,9.47547004,8.782322859,1.078925267,neutral
154,"today s helpful sensory tip for better sleep touch keep your bedroom between c c to f cooler",unknown,17.22651516,9.47547004,1.818011675,neutral
155,he is not even witty or intelligent or has anything at all to say for himself really i just want to know,unknown,51.00328435,0.445453222,114.4975091,positive
156,"you made your bedsleep in it",anger,1.031277741,0.445453222,2.315120175,positive
157,i literally took a nap for hours and now its pm will i sleep tonight,unknown,9.47547004,0.445453222,21.27152655,positive
158,please join while i sleep x to show dua love for her massive show tomorrow x,joy,17.91966234,8.782322859,2.040424,positive
159,i am at the point in my life where i can t read certain academic papers before bed because they make me really mad,anger,1.031277741,9.47547004,0.108836579,negative
160,go to sleep,unknown,1.031277741,0.445453222,2.315120175,positive
161,"why do you sleep so much fam you don t know i ve been tired since year",disgust,9.47547004,9.47547004,1,neutral
162,ah haha you ll be glad to hear the only thing unfurling crosier like will be me tomorr,joy,26.36385464,0.445453222,59.18433929,positive
163,"only one little sleep til we open the doors for this years festival tomorrow see you at doors from films s",unknown,8.782322859,9.47547004,0.926848254,negative
164,fuck me that was good now to get home get very little sleep then up and out to heathrow,joy,8.782322859,18.50548686,0.474579401,negative
165,that s fast work might even mean sleep for the dramaturg,unknown,25.67070746,9.47547004,2.709175096,positive
166,sleep would be nice,unknown,9.47547004,0.445453222,21.27152655,positive
167,cody rhodes porn teenage brother having sexual with sleep sisters,joy,8.782322859,0.445453222,19.71547723,positive
168,so they can sleep on a bus when have demolished our council estates and sold the land to developers,unknown,1.031277741,0.445453222,2.315120175,positive
169,morning i don t know how far holmes took any sleep that night,unknown,9.47547004,0.445453222,21.27152655,positive
170,quieton sleep review counting sheep not doing the trick maybe these noise cancelling earbuds will help you get,sadness,17.22651516,18.50548686,0.930886893,negative
171,was a complete klutz yesterday managed to trip in bedroom grab curtains pull curtain rail off wall amp had to sle,joy,1.031277741,17.81233968,0.057896815,negative
172,he is not even witty or intelligent or has anything at all to say for himself really i just want to,unknown,42.55909205,0.445453222,95.54110273,positive
173,omg nah it s the bit where she s running around the woods after him and gets lost and just lays down and goes to sleep,unknown,9.47547004,8.782322859,1.078925267,neutral
174,jenny hval returns with a jazzy new ep,unknown,1.031277741,0.445453222,2.315120175,positive
175,"only one little sleep til we open the doors for this years festival tomorrow see you at doors fro",unknown,8.782322859,9.47547004,0.926848254,negative
176,"in bed on the verge of sleep peaceful content after a hard day s work and a simple healthyish dinner brain y",anger,33.42175257,8.782322859,3.80557093,positive
177,now there s only mins left before going to sleep imagine if i have a family at this moment if i have children,unknown,9.47547004,9.47547004,1,neutral
178,and sleep,unknown,1.031277741,0.445453222,2.315120175,positive
179,"some of my favorite quotes include  i hate this fucking book  oh fuck  i ve gotten hours of sleep this week",anger,9.47547004,9.47547004,1,neutral
180,they never let me sleep that close to a plane believe me i ve tried,joy,1.031277741,8.782322859,0.117426535,negative
181,a heat change infinity war mug tis the sorcery of dr strange surely,anger,9.47547004,26.8423565,0.353004403,negative
182,i love how has become the pantomime villain for claiming that goal against stoke why is everyone so bothere,joy,9.47547004,0.445453222,21.27152655,positive
183,yes we should prepare students for working nights better teaching about sleep a,unknown,25.67070746,0.445453222,57.62828998,positive
184,i love waking up pointlessly early checking my phone and realising i get to sleep for at least a couple more hours,joy,9.47547004,26.14920931,0.362361627,negative
185,i think tomorrow will be a radiohead day that or slipknot depending on how i sleep,unknown,17.91966234,0.445453222,40.22793292,positive
186,further evidence for cued recall albeit somewhat extreme and somewhat impractical loving matthew walker s why we,joy,1.031277741,17.81233968,0.057896815,negative
187,"now i feel guilty about the millions of games i have to complete hahahai will never sleep again if i force myself",sadness,9.47547004,17.1191925,0.553499824,negative
188,sleep and eat well stay hydrated and take breaks which you can spend by regent s canal with the beautiful s,unknown,17.22651516,0.445453222,38.67188361,positive
189,readied things for the morning cleaned the kitchen that was even on the list i then got a couple of,unknown,8.782322859,9.47547004,0.926848254,negative
190,i made the mistake of unblocking an account in order to see all sides of a conversation and now i m not going to be,unknown,8.782322859,17.81233968,0.493047125,negative
191,migrane chronicles the lightbulb is my enemy pills don t work anymore sleep is a myth even a whisper is too loud,unknown,17.22651516,17.81233968,0.96711131,negative
192,urgh so i m not eating or sleeping at the moment i ve had hours sleep and two plates of salad in the last hours fuck anxiety,unknown,9.47547004,18.50548686,0.512035707,negative
193,new amp exclusive at,unknown,8.782322859,0.445453222,19.71547723,positive
194,sleep tight boys hugs and cuddles night boys love you guys loads dad xxcc,joy,9.47547004,0.445453222,21.27152655,positive
195,coincidence i think not,unknown,9.47547004,0.445453222,21.27152655,positive
196,would you rather sleep with a huge spider on your pillow or a snake without any enclosed space,unknown,1.031277741,0.445453222,2.315120175,positive
197,no sleep no problem,unknown,1.031277741,8.782322859,0.117426535,negative
198,people swear these weighted blankets are the best anxiety and insomnia remedy,unknown,17.22651516,18.50548686,0.930886893,negative
199,"hi omar ah bless you i know about feeling tired of being tired lol when the sleep comes you cant sle",disgust,17.91966234,9.47547004,1.891163421,neutral
200,why do cats like to sleep among the flowers cats,joy,9.47547004,0.445453222,21.27152655,positive
201,so emotionally drained i just want this all to stop i m fed up with crying and not being able to sleep,disgust,25.67070746,0.445453222,57.62828998,positive
202,"perfect pillows for all kinds of sleep click this link",unknown,9.47547004,0.445453222,21.27152655,positive
203,i m tired so i drink it then i can t sleep so i drink more the next day gt lt only had one today loool,disgust,1.031277741,9.47547004,0.108836579,negative
204,i can t sleep i m way too excited,unknown,9.47547004,9.47547004,1,neutral
205,i m just going to curl up in a ball and cry myself to sleep now fuck i hate myself right now,anger,17.22651516,18.50548686,0.930886893,negative
206,so painful and exhausting not sure when we are meant to sleep,unknown,9.47547004,8.782322859,1.078925267,neutral
207,completely recommend it s super tense and a bit jumpy but not a horror fest i think you ll be able to sleep afterwards xx,disgust,42.55909205,26.14920931,1.627547952,neutral
208,you re angry shreynash go to sleep,anger,1.031277741,9.47547004,0.108836579,negative
209,i m sure he won t sleep at night with this revelation,unknown,17.22651516,0.445453222,38.67188361,positive
210,never hurry take plenty of exercise always be cheerful take all the sleep you need you may expect to be well,joy,25.67070746,8.782322859,2.922997465,positive
211,everyone s just pissing me off today lol lemme sleep,unknown,9.47547004,0.445453222,21.27152655,positive
212,we go live tomorrow on facebook with dr katy munro at pm all about lifestyle including diet,joy,8.782322859,0.445453222,19.71547723,positive
213,that works he said sebastian noticed how james seemed to appear a bit tired so he took the rem,disgust,1.031277741,9.47547004,0.108836579,negative
214,money heist aka lasa de papel series back on netflix i was going to sleep,unknown,8.782322859,0.445453222,19.71547723,positive
215,"finding it hard to feel finding it hard to stay on track my train of thoughts is escaping and i can bearly keep u",unknown,1.031277741,8.782322859,0.117426535,negative
216,go to sleep now,unknown,1.031277741,0.445453222,2.315120175,positive
217,well that would be marvellous but maybe we ll let fernley decide how much sleep he decides t,surprise,17.22651516,0.445453222,38.67188361,positive
218,breaking news big congratulations to charlotte sellers spitalfields antiques market trader who found the old till s,unknown,9.47547004,0.445453222,21.27152655,positive
219,"in peace i will lie down and sleep for you alone o lord will keep me safe psalms nlt",unknown,24.97756028,9.47547004,2.63602335,positive
220,that s you having to sleep in the sofa tonight then,unknown,1.031277741,0.445453222,2.315120175,positive
221,this is what happens when you try a radical sleep routine where you only sleep for hours per day,surprise,1.031277741,17.81233968,0.057896815,negative
222,living is a sickness to which sleep provides relief every sixteen hours it s a palliative the remedy is death,unknown,17.22651516,17.1191925,1.006269143,neutral
223,it would be lovely to say it was great but it wasn t weak supporting cast e g banquo best actors were the wit,joy,26.36385464,17.81233968,1.480089371,neutral
224,the absolute worst thing about having a kid is when they come into your bed refusing to sleep in their own bed tha,anger,9.47547004,9.47547004,1,neutral
225,as i say they are soft with you sleep well though,unknown,8.782322859,0.445453222,19.71547723,positive
226,welcome to your new sleep vessel tiny human,unknown,9.47547004,8.782322859,1.078925267,neutral
227,it s not exactly a maysles life spec is it dude is a hack and wan,unknown,1.031277741,0.445453222,2.315120175,positive
228,what does monkey think about this sleep over,unknown,9.47547004,0.445453222,21.27152655,positive
229,dunno how you sleep at night you pretentious troll no you cares about you re two bob opinion,unknown,1.031277741,18.50548686,0.055728215,negative
230,i have a really bad headache anf all i wanna do is sleep but cant because of the pain,sadness,1.031277741,26.8423565,0.038419792,negative
231,meanwhile at down valverde still hoping and praying his passive sleep walk through the game tactic would get us through,joy,1.031277741,26.14920931,0.0394382,negative
232,night twitter before i sleep i need to get off my chest how irrationally cross i was at the snail trailing up our,sadness,1.031277741,35.87237331,0.028748523,negative
233,go to sleep wig,unknown,1.031277741,0.445453222,2.315120175,positive
234,all i need right now is sleep,unknown,8.782322859,8.782322859,1,neutral
235,good night and sleep well xxx,joy,16.53336798,0.445453222,37.11583429,positive
236,i added a video to a playlist,unknown,1.031277741,0.445453222,2.315120175,positive
237,yes we should prepare students for working nights better teaching about sle,unknown,25.67070746,0.445453222,57.62828998,positive
238,night sleep well x,unknown,8.782322859,0.445453222,19.71547723,positive
239,sort of beside myself with emotion at how powerful was tonight maybe it s the limited sleep i ve had,unknown,8.782322859,17.81233968,0.493047125,negative
240,bro i can t see arsenal win that cup lool i won t sleep easy,anger,8.782322859,9.47547004,0.926848254,negative
241,do i sleep or do i read,unknown,1.031277741,0.445453222,2.315120175,positive
242,sleep,unknown,1.031277741,0.445453222,2.315120175,positive
243,one cannot think well love well sleep well if one has not dined well,joy,25.67070746,0.445453222,57.62828998,positive
244,have to pretend i didn t see this tweet or i won t be able to sleep,unknown,8.782322859,9.47547004,0.926848254,negative
245,your dragon boyfriend has a pair of very sharp horns so sharp in fact that every time you share a bed you have to put a so,anger,1.031277741,17.81233968,0.057896815,negative
246,feeling so fed up need a decent nights sleep and a back massage,disgust,16.53336798,8.782322859,1.882573465,neutral
247,great to see trusts signing up to the fatigue charter providing free access to good quality sleep facilit,joy,40.47965051,8.782322859,4.609219128,positive
248,"my dog had puppies this week she won t sleep she just stays awake and stared at her new babies had to share y ht",unknown,9.47547004,0.445453222,21.27152655,positive
249,listen to nitezlife i cant sleep by nitezlife on,unknown,1.031277741,0.445453222,2.315120175,positive
250,if i sleep at your house i must absolutely love you because no where is as comfy as my own bed,anger,9.47547004,0.445453222,21.27152655,positive
251,"morrowind character fartsstamina meter whoopsie looks like you can t attack or talk or sleep or walk or breathe for m",joy,9.47547004,8.782322859,1.078925267,neutral
252,your app still won t work for me but i m with a gentleman on the corner of queensway and westbourn,unknown,17.91966234,0.445453222,40.22793292,positive
253,honestly the english press s wankfest over harry kane is hysterical he gets away with diving now stealing goals from,fear,17.22651516,17.81233968,0.96711131,negative
254,hours wide awake on proplus time to sleep,unknown,8.782322859,0.445453222,19.71547723,positive
255,so many of us have competing demands in our day if we leave it to the evening we might not follow through,unknown,9.47547004,0.445453222,21.27152655,positive
256,i am road testing anti snoring nasal strips as i snore like a mofo it s in place and it feels very weird is the i,joy,9.47547004,27.53550368,0.344118276,negative
257,after watching that game i feel like i ve earned my sleep tonight jheez,joy,9.47547004,8.782322859,1.078925267,neutral
258,"morrowind character fartsstamina meter whoopsie looks like you can t attack or talk or sleep or walk or breathe",joy,9.47547004,8.782322859,1.078925267,neutral
259,buffon will never win the champions league i will sleep very well knowing this is a fact,unknown,17.22651516,0.445453222,38.67188361,positive
260,whatever helps you sleep at night,unknown,1.031277741,8.782322859,0.117426535,negative
261,i just watched seconds of that nolan thomas video i won t sleep tonight thanks,unknown,9.47547004,0.445453222,21.27152655,positive
262,god nar sleep,anger,1.031277741,0.445453222,2.315120175,positive
263,i have so much respect for juve tonight bmt cause that red to buffon is heart breaking but ronaldo doesn t sleep,joy,17.22651516,8.782322859,1.961498733,neutral
264,hey guys no stream tonight a little tired due to noisy neighbours from last night gonna sleep well tonight and stre,disgust,16.53336798,35.87237331,0.460894177,negative
265,aw thanks xx you too hope you have a good sleep xx,joy,17.22651516,0.445453222,38.67188361,positive
266,been so aggy today this sleep better sort me for tomorrow,unknown,9.47547004,0.445453222,21.27152655,positive
267,what a way to end buffon s career i hope you sleep well at night you little twat,unknown,17.22651516,18.50548686,0.930886893,negative
268,on a day such as today when one of the best people my really beloved younger friend should be celebrating her bir,joy,25.67070746,0.445453222,57.62828998,positive
269,sleep tight,unknown,1.031277741,0.445453222,2.315120175,positive
270,lovely pic good night my friend derek sleep tight see you tomorrow,joy,24.97756028,0.445453222,56.07224067,positive
271,later school start times really do improve sleep time,unknown,8.782322859,0.445453222,19.71547723,positive
272,as we go to sleep good night and love to our followers,joy,17.22651516,0.445453222,38.67188361,positive
